Config	Symbol	ADG Long	Days on Binance
.\recursive_longonly_03-18-23\CRVUSDT_20230317185618_eead0\CRVUSDT	CRVUSDT	0.08%	955
.\recursive_longonly_03_26_23\UNIUSDT_20230327051838_b74b7\UNIUSDT	UNIUSDT	0.08%	922
.\recursive_longonly_03_26_23\ZILUSDT_20230327051838_b74b7\ZILUSDT	ZILUSDT	0.08%	1498
.\recursive_longonly_03-23-23\RSRUSDT_20230323041214_98a5b\RSRUSDT	RSRUSDT	0.08%	943
.\recursive_longonly_03-17-23\COMPUSDT_20230316194859_9c85d\COMPUSDT	COMPUSDT	0.08%	1006
.\recursive_longonly_03-23-23\DOTUSDT_20230323041214_98a5b\DOTUSDT	DOTUSDT	0.08%	951
.\recursive_longonly_03-18-23\ENJUSDT_20230317185618_eead0\ENJUSDT	ENJUSDT	0.08%	1440
.\recursive_longonly_03-23-23\EGLDUSDT_20230323041214_98a5b\EGLDUSDT	EGLDUSDT	0.08%	936
.\recursive_longonly_03-18-23\FTMUSDT_20230317185618_eead0\FTMUSDT	FTMUSDT	0.08%	1386
.\recursive_longonly_03-23-23\WAVESUSDT_20230323041214_98a5b\WAVESUSDT	WAVESUSDT	0.08%	1530
.\recursive_longonly_03_26_23\RSRUSDT_20230327051838_b74b7\RSRUSDT	RSRUSDT	0.08%	943
.\recursive_longonly_03-23-23\CRVUSDT_20230323041214_98a5b\CRVUSDT	CRVUSDT	0.08%	955
.\recursive_longonly_03-18-23\1INCHUSDT_20230317185618_eead0\1INCHUSDT	1INCHUSDT	0.08%	823
.\recursive_longonly_03-17-23\ETCUSDT_20230316194859_9c85d\ETCUSDT	ETCUSDT	0.08%	1750
.\recursive_longonly_03-18-23\GMTUSDT_20230317185618_eead0\GMTUSDT	GMTUSDT	0.08%	384
.\recursive_longonly_03-23-23\SNXUSDT_20230323041214_98a5b\SNXUSDT	SNXUSDT	0.08%	992
.\recursive_longonly_03-18-23\KSMUSDT_20230317185618_eead0\KSMUSDT	KSMUSDT	0.07%	935
.\recursive_longonly_03-17-23\WAVESUSDT_20230316194859_9c85d\WAVESUSDT	WAVESUSDT	0.07%	1530
.\recursive_longonly_03-18-23\EGLDUSDT_20230317185618_eead0\EGLDUSDT	EGLDUSDT	0.07%	936
.\recursive_longonly_03-18-23\WAVESUSDT_20230317185618_eead0\WAVESUSDT	WAVESUSDT	0.07%	1530
.\recursive_longonly_03-18-23\ANKRUSDT_20230317185618_eead0\ANKRUSDT	ANKRUSDT	0.07%	1344
.\recursive_longonly_03-17-23\NEARUSDT_20230316194859_9c85d\NEARUSDT	NEARUSDT	0.07%	895
.\recursive_longonly_03-23-23\VETUSDT_20230323041214_98a5b\VETUSDT	VETUSDT	0.07%	1707
.\recursive_longonly_03-17-23\VETUSDT_20230316194859_9c85d\VETUSDT	VETUSDT	0.07%	1707
.\recursive_longonly_03-23-23\BNBUSDT_20230323041214_98a5b\BNBUSDT	BNBUSDT	0.07%	1968
.\recursive_longonly_03-23-23\NEARUSDT_20230323041214_98a5b\NEARUSDT	NEARUSDT	0.07%	895
.\recursive_longonly_03-17-23\OCEANUSDT_20230316194859_9c85d\OCEANUSDT	OCEANUSDT	0.07%	951
.\recursive_longonly_03_26_23\CHRUSDT_20230327051838_b74b7\CHRUSDT	CHRUSDT	0.07%	1055
.\recursive_longonly_03-23-23\DYDXUSDT_20230323041214_98a5b\DYDXUSDT	DYDXUSDT	0.07%	565
.\recursive_longonly_03-18-23\RSRUSDT_20230317185618_eead0\RSRUSDT	RSRUSDT	0.07%	943
.\recursive_longonly_03-17-23\GMTUSDT_20230316194859_9c85d\GMTUSDT	GMTUSDT	0.07%	384
